DeltaQ_var,DeltaQ_min,CapFadeCycle2Slope,CapFadeCycle2Intercept,Qd2,AvgChargeTime,MinIR,IRDiff2And100
-5.08385578615574,-1.96384405087929,6.47080148421598e-06,1.08087707801319,1.0753012,13.40915,0.016764179,-3.3898000000001e-05
-4.37540615234112,-1.69282435992757,1.63127507730329e-05,1.08412229011462,1.0797229,12.0251396666667,0.016098134,4.41860000000016e-05
-4.14640599989266,-1.58893664077382,8.17084230055448e-06,1.07995648098207,1.0761266,10.9678496666667,0.015922785,-0.000124425000000001
-3.8067712119434,-1.42163054186329,-8.49103030303969e-06,1.09737547789899,1.0938644,10.0250816666667,0.016083084,-3.73089999999993e-05
-4.11807313099597,-1.60885748843441,2.28594570191691e-05,1.05888449900515,1.0537786,11.668876,0.015962802,-0.000304447999999999
-4.02251553389758,-1.54066390036676,2.59692764378399e-05,1.0663900941744,1.0611236,10.7977056666667,0.016542939,-0.000246553
-3.96972493938839,-1.50768716329651,1.78862312925158e-05,1.07619403856772,1.072052,10.1468806666667,0.016238289,2.21629999999987e-05
-3.61947231566282,-1.33825645296249,-1.03558453927053e-05,1.0888966198322,1.0851147,9.92473833333333,0.016205151,-6.60869999999994e-05
-3.32822645694631,-1.17951238044662,-8.66330451453356e-05,1.08662615297918,1.0824388,8.96470633333334,0.014894895,-0.000222164
-3.93822801188252,-1.49699783302351,2.02425850339916e-06,1.07792994968501,1.0745355,12.147216,0.016390581,-4.86200000000131e-06
-3.79478548501133,-1.41618419949341,-1.52104613481824e-05,1.09135002140755,1.0876514,10.7648196666667,0.016129743,1.28879999999991e-05
-3.84427729572218,-1.42929971151629,-7.72668027211654e-06,1.08108968998681,1.0777475,11.1299073333333,0.016467512,6.37710000000007e-05
-3.74426470612429,-1.38917610230845,-1.63682189239387e-05,1.08365849633684,1.0798637,10.1301796666667,0.015838005,5.84279999999993e-05
-3.64602898529634,-1.34135637531758,-1.27762721088472e-05,1.0813230393725,1.0778366,10.096438,0.015933495,5.13440000000018e-05
-3.84818164523482,-1.42924531439669,-3.12964749540989e-07,1.08008595009112,1.0766174,11.067937,0.016567618,-2.83760000000001e-05
-3.66906683082193,-1.35045674979443,-7.18304390848034e-06,1.08164289483529,1.0778315,11.5248433333333,0.016229769,8.78519999999994e-05
-3.43261366177266,-1.24860081212327,-9.43712430426885e-06,1.07628279940012,1.0729513,10.2430666666667,0.016066672,8.89640000000004e-05
-4.05477819338072,-1.53617105825913,-8.20486332715938e-06,1.08734842580746,1.0833029,12.0712226666667,0.016480761,6.6568999999999e-05
-3.66542127349498,-1.34959877139046,2.11359802102019e-06,1.08378139033931,1.0798725,11.1710936666667,0.016511114,0.000103314
-3.42026549303242,-1.23064430311028,-3.36154607297517e-05,1.08855646021439,1.0847682,10.2711043333333,0.017142953,0.000152771000000003
-2.74527862989146,-0.868309264242561,-0.000354730761904762,1.0788386304733,1.0700541,10.2441646666667,0.016423751,-0.00021299
-3.4928242679606,-1.26309428948245,-1.27914050711289e-05,1.07867962125459,1.0735391,10.075615,0.017209327,-0.000232081999999998
-3.35157053691256,-1.19376457677135,-0.000106750100185533,1.07733064500845,1.0728973,10.124655,0.015997788,-0.000855160000000001
-3.24395503429252,-1.13991871122157,-0.000214385846629572,1.07565824282457,1.0687391,10.1946226666667,0.015648872,-0.001029189
-3.46228357764847,-1.24802097838253,-4.14573419913455e-05,1.07632493858297,1.0717047,10.107076,0.017036082,-0.000522740000000001
-3.18438349443844,-1.11389311444679,-0.000121203641311068,1.08515431297959,1.080285,10.2309236666666,0.016480118,-0.000497062999999999
-3.42855708625457,-1.23792561306336,2.05658961038895e-05,1.07353382616739,1.0656468,10.161191,0.016974878,-0.000504403
-3.31557036727006,-1.19016492093367,-0.000178507823129255,1.05127703231293,1.0480373,10.333377,0.01643493,-0.001034869
-3.52610183806757,-1.23065050174687,-4.39754471243151e-05,1.08213694679324,1.0768799,10.1215760000001,0.017165525,-0.000258873
-3.52582462881716,-1.28065080879199,-6.65533568336475e-05,1.07890117372377,1.0745209,10.250747,0.01690297,-0.00082546
-3.45202824296973,-1.24454093858209,-3.03303525046389e-05,1.07209363383632,1.0672674,10.0419866666667,0.016953357,-0.000553833
-3.56137384296511,-1.29886437924043,4.94572665419899e-07,1.07059769598598,1.065841,10.1474093333333,0.017141469,-0.000267010000000002
-3.70846851905017,-1.38617937240764,3.27914384662919e-05,1.07657475178973,1.0725043,10.114581,0.016837668,4.1012e-05
-3.62662898995307,-1.34314469040364,1.2657374149656e-05,1.07857363957493,1.0732793,10.1468843333334,0.017417014,-3.7203999999999e-05
-3.68318554291313,-1.36479095004334,2.06875670995608e-05,1.08352128963348,1.079052,10.1292483333333,0.017406421,9.9076e-05
-3.48773688985448,-1.27205559090024,-2.804415584497e-07,1.07335519847908,1.0687217,10.1302933333333,0.016969517,-0.000378345999999998
-3.52270277556828,-1.29129274557103,3.50503784786626e-05,1.07889607009153,1.0748166,10.1146883333333,0.01798249,9.34119999999976e-05
-3.50516329538497,-1.2836224533641,3.18635794681418e-05,1.08428439886127,1.0784613,10.1444793333334,0.017882114,7.44649999999993e-05
-3.43864752265053,-1.2473349212311,1.66465652442753e-05,1.07388267163719,1.0682049,10.1280363333334,0.017491397,-7.85899999999999e-05
-3.39453384855038,-1.22602927200194,1.25112282003715e-05,1.07897625261431,1.0735646,10.1291743333333,0.017879792,9.03509999999989e-05
-3.68798315074743,-1.36135122338465,-7.06043661101065e-06,1.07486797418635,1.0704726,10.0971140000001,0.01683791,-0.000126906
